"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test retrieves all bookings and checks the response status and content.","822","Test getting all bookings","","Wed Jul 31 12:30:27 AMT 2024","passed","Wed Jul 31 12:30:28 AMT 2024","","GET Booking Suite","",""
"Test to create authentication token for booking API.","623","Test Booking Token Creation","","Wed Jul 31 12:30:26 AMT 2024","passed","Wed Jul 31 12:30:27 AMT 2024","","Create Token Booking Suite","",""
"Test to update a booking and verify the response.","615","Test Update Booking","","Wed Jul 31 12:30:29 AMT 2024","passed","Wed Jul 31 12:30:30 AMT 2024","","Update Booking Suite","",""
"Test to delete a booking by ID and verify the response.","627","Test Delete Booking by ID","","Wed Jul 31 12:30:32 AMT 2024","passed","Wed Jul 31 12:30:33 AMT 2024","","Delete Booking Suite","",""
"Test to verify response when partially updating a booking without a token.","616","Test Negative Partial Update Booking without Token","","Wed Jul 31 12:30:32 AMT 2024","passed","Wed Jul 31 12:30:32 AMT 2024","","Partial Update Booking Suite","",""
"Test to create a booking and verify the response.","773","Test Create Booking","","Wed Jul 31 12:30:27 AMT 2024","passed","Wed Jul 31 12:30:27 AMT 2024","","Create Booking Suite","",""
"This test retrieves a booking by ID and checks the response status and content.","997","Test getting booking by ID","","Wed Jul 31 12:30:28 AMT 2024","passed","Wed Jul 31 12:30:29 AMT 2024","","GET Booking Suite","",""
"Test to verify response when updating a booking with an invalid token.","603","Test Negative Update Booking","","Wed Jul 31 12:30:30 AMT 2024","passed","Wed Jul 31 12:30:30 AMT 2024","","Update Booking Suite","",""
"Test to verify response when partially updating a booking with an invalid token.","617","Test Negative Partial Update Booking with Invalid Token","","Wed Jul 31 12:30:31 AMT 2024","passed","Wed Jul 31 12:30:32 AMT 2024","","Partial Update Booking Suite","",""
"Test to partially update a booking and verify the response.","619","Test Partial Update Booking","","Wed Jul 31 12:30:30 AMT 2024","passed","Wed Jul 31 12:30:31 AMT 2024","","Partial Update Booking Suite","",""
"This test checks if the health endpoint is reachable and returns the expected status code.","1025","Health Check Test","","Wed Jul 31 12:30:25 AMT 2024","passed","Wed Jul 31 12:30:26 AMT 2024","","Ping Tests","",""
